Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating,e_Fuel_Type,e_Model,e_Transmission,e_Color,e_Body_Type,e_Wheel_Drive
toyota,Proace 2.0D 140 Icon Van,28194.0,2022,1997.0,9000.0,Diesel,Manual,White,Van,4X2,5.0,5.0,142.0,106.0,12.0,112.0,0,38,2,69,10,0
toyota,Proace City 1.5D 100 Icon Van (6 Speed),25995.0,2023,1499.0,4500.0,Diesel,Manual,Grey,Van,4X2,5.0,5.0,101.0,102.0,12.0,112.0,0,45,2,25,10,0
toyota,Yaris,14250.0,2020,1497.0,4300.0,Hybrid,Auto,Blue,Hatchback,4X2,5.0,5.0,99.0,102.0,11.8,112.0,1,57,0,7,3,0
toyota,RAV4,17550.0,2020,2487.0,122653.0,Hybrid,Auto,Silver,Other,4X4,5.0,5.0,219.0,112.0,8.4,103.0,1,51,0,58,5,1
toyota,Yaris,15995.0,2021,1500.0,21355.0,Hybrid,Auto,Black,Hatchback,4X2,5.0,5.0,114.0,109.0,12.0,92.0,1,57,0,5,3,0
toyota,Supra,37500.0,2020,3000.0,13879.0,Petrol,Semi-Auto,Grey,Coupe,4X2,2.0,2.0,335.0,155.0,4.3,170.0,3,52,4,25,1,0
toyota,IQ,3681.0,2010,1329.0,93901.0,Petrol,Manual,Black,Hatchback,4X2,3.0,4.0,96.0,106.0,11.8,113.0,3,26,2,5,3,0
toyota,Hilux,36995.0,2022,2755.0,12900.0,Diesel,Auto,Orange,Van,4X4,5.0,5.0,201.0,109.0,12.0,112.0,0,17,0,39,10,1
toyota,Yaris,7999.0,2016,1329.0,41000.0,Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,98.0,109.0,11.7,114.0,3,57,2,48,3,0
toyota,Auris,8190.0,2014,1598.0,41900.0,Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,130.0,124.0,10.0,140.0,3,2,2,25,3,0
toyota,C-HR,26395.0,2022,1798.0,11771.0,Petrol,Auto,Blue,SUV,4X2,5.0,5.0,121.0,106.0,12.0,112.0,3,5,0,7,7,0
toyota,Corolla,17890.0,2020,1798.0,17434.0,Other,Auto,Silver,Hatchback,4X2,5.0,5.0,121.0,112.0,12.0,76.0,2,7,0,58,3,0
toyota,Estima,16495.0,2015,2400.0,55000.0,Petrol,Auto,White,Other,4X2,5.0,5.0,122.0,107.0,12.0,112.0,3,11,0,69,5,0
toyota,Auris,3250.0,2008,1598.0,69703.0,Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,122.0,118.0,10.4,164.0,3,2,2,7,3,0
toyota,Avensis,1995.0,2010,2000.0,273081.0,Diesel,Manual,Blue,Other,4X2,4.0,5.0,125.0,124.0,9.7,134.0,0,3,2,7,5,0
toyota,Yaris,11990.0,2019,1497.0,50000.0,Other,Auto,GREY,Hatchback,4X2,5.0,5.0,99.0,102.0,11.8,84.0,2,57,0,22,3,0
