Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating,e_Fuel_Type,e_Model,e_Transmission,e_Color,e_Body_Type,e_Wheel_Drive
nissan,Qashqai,13950.0,2019,1461.0,51000.0,Diesel,Manual,Silver,SUV,4X2,5.0,5.0,114.0,112.0,12.3,110.0,0,37,2,58,9,0
nissan,Qashqai,7195.0,2014,1197.0,107600.0,Petrol,Manual,Silver,SUV,4X2,5.0,5.0,114.0,114.0,11.3,129.0,3,37,2,58,9,0
nissan,Qashqai,5395.0,2014,1197.0,127800.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,114.0,114.0,11.3,129.0,3,37,2,11,9,0
nissan,Qashqai,6999.0,2010,1997.0,73000.0,Petrol,Auto,Black,SUV,4X2,5.0,5.0,139.0,114.0,10.7,179.0,3,37,0,7,9,0
nissan,X Trail,12995.0,2015,1598.0,61000.0,Diesel,Auto,BLACK,Estate,4X2,5.0,5.0,129.0,112.0,11.4,139.0,0,41,0,2,4,0
nissan,Note,4195.0,2012,1461.0,55540.0,Diesel,Manual,WHITE,MPV,4X2,5.0,5.0,88.0,102.0,13.3,110.0,0,32,2,65,6,0
nissan,Note,2795.0,2008,1598.0,124100.0,Petrol,Auto,Blue,MPV,4X2,5.0,5.0,109.0,108.0,11.7,159.0,3,32,0,11,6,0
nissan,Qashqai,6490.0,2015,1461.0,132561.0,Diesel,Manual,BLUE,Hatchback,4X2,5.0,5.0,109.0,113.0,12.4,103.0,0,37,2,3,5,0
nissan,Micra,11000.0,2018,898.0,12000.0,Petrol,Manual,BLUE,Hatchback,4X2,5.0,5.0,88.0,109.0,11.0,99.0,3,12,2,3,5,0
nissan,Juke,8689.0,2015,1197.0,42980.0,Petrol,Manual,RED,Hatchback,4X2,5.0,5.0,114.0,111.0,11.0,128.0,3,10,2,55,5,0
nissan,Micra,9199.0,2017,898.0,37122.0,Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,88.0,109.0,11.0,99.0,3,12,2,7,5,0
nissan,Qashqai,17199.0,2019,1332.0,27437.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,140.0,120.0,10.9,130.0,3,37,2,11,9,0
nissan,Qashqai,16399.0,2020,1332.0,45156.0,Petrol,Manual,Grey,SUV,4X2,5.0,5.0,140.0,120.0,10.9,130.0,3,37,2,26,9,0
nissan,Qashqai,12999.0,2020,1461.0,37150.0,Diesel,Manual,Grey,SUV,4X2,5.0,5.0,114.0,112.0,11.0,139.0,0,37,2,26,9,0
nissan,370Z,19599.0,2016,3696.0,37350.0,Petrol,Manual,White,Coupe,4X2,3.0,2.0,323.0,155.0,5.3,248.0,3,4,2,66,3,0
nissan,Juke,16249.0,2021,999.0,17561.0,Petrol,Manual,Grey,SUV,4X2,5.0,5.0,113.0,112.0,11.0,134.0,3,10,2,26,9,0
nissan,Micra,11049.0,2019,898.0,20912.0,Petrol,Manual,White,Hatchback,4X2,5.0,5.0,88.0,109.0,11.0,118.0,3,12,2,66,5,0
nissan,Qashqai,17049.0,2020,1461.0,35936.0,Diesel,Manual,Grey,SUV,4X2,5.0,5.0,113.0,114.0,13.0,139.0,0,37,2,26,9,0
nissan,Qashqai,13399.0,2017,1197.0,41997.0,Petrol,Manual,Grey,SUV,4X2,5.0,5.0,114.0,115.0,11.0,129.0,3,37,2,26,9,0
nissan,Qashqai,14049.0,2019,1332.0,31732.0,Petrol,Manual,Red,SUV,4X2,5.0,5.0,140.0,120.0,10.9,121.0,3,37,2,56,9,0
nissan,Juke,18999.0,2020,999.0,12059.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,116.0,112.0,11.0,143.0,3,10,2,11,9,0
nissan,Juke,11249.0,2019,1598.0,40853.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,111.0,111.0,12.5,157.0,3,10,2,11,9,0
nissan,X Trail,19749.0,2020,1749.0,41939.0,Diesel,Manual,Silver,SUV,4X2,5.0,5.0,148.0,121.0,11.0,161.0,0,41,2,58,9,0
nissan,Qashqai,14549.0,2019,1461.0,53656.0,Diesel,Manual,Silver,SUV,4X2,5.0,5.0,113.0,114.0,13.0,106.0,0,37,2,58,9,0
nissan,Qashqai,13999.0,2019,1461.0,26109.0,Diesel,Manual,Red,SUV,4X2,5.0,5.0,114.0,112.0,12.3,100.0,0,37,2,56,9,0
nissan,Interstar,28188.0,2023,2300.0,5276.0,Diesel,Manual,White,van,4X2,5.0,5.0,109.0,87.0,11.0,133.0,0,9,2,66,13,0
nissan,NV250,15060.0,2019,1500.0,18447.0,Diesel,Manual,White,van,4X2,5.0,5.0,94.0,100.0,11.0,133.0,0,19,2,66,13,0
nissan,Qashqai,24450.0,2022,1300.0,10323.0,Petrol,Auto,Ceramic Grey Pearl,SUV,4X2,5.0,5.0,128.0,114.0,11.0,133.0,3,37,0,15,9,0
nissan,Micra,11375.0,2018,900.0,8614.0,Petrol,Manual,White,Hatchback,4X2,5.0,5.0,128.0,114.0,11.0,133.0,3,12,2,66,5,0
nissan,Qashqai,23975.0,2022,1300.0,8100.0,Hybrid,Manual,Blue,SUV,4X2,5.0,5.0,128.0,114.0,11.0,133.0,1,37,2,11,9,0
nissan,Qashqai,23775.0,2021,1300.0,20457.0,Hybrid,Semi-Auto,Grey,SUV,4X2,5.0,5.0,128.0,114.0,11.0,133.0,1,37,4,26,9,0
nissan,Juke,21990.0,2023,1000.0,2149.0,Petrol,Semi-Auto,Grey,SUV,4X2,5.0,5.0,128.0,114.0,11.0,133.0,3,10,4,26,9,0
nissan,Juke,17299.0,2020,1000.0,27777.0,Petrol,Semi-Auto,Red,SUV,4X2,5.0,5.0,128.0,114.0,11.0,133.0,3,10,4,56,9,0
nissan,X Trail,18530.0,2018,2000.0,28170.0,Diesel,Manual,Beige,SUV,4X4,5.0,7.0,174.0,127.0,11.0,153.0,0,41,2,6,9,1
