Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating,e_Fuel_Type,e_Model,e_Transmission,e_Color,e_Body_Type,e_Wheel_Drive
vauxhall,Combo Life,14995.0,2020,1200.0,16177.0,Petrol,Manual,Blue,MPV,4X2,5.0,5.0,109.0,109.0,11.0,156.0,3,24,2,12,9,0
vauxhall,Adam,8299.0,2017,1200.0,25711.0,Petrol,Manual,Blue,Hatchback,4X2,3.0,4.0,68.0,102.0,14.9,125.0,3,0,2,12,7,0
vauxhall,Crossland X,12175.0,2019,1200.0,23000.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,109.0,116.0,10.9,109.0,3,30,2,12,14,0
vauxhall,Movano,11987.0,2018,2299.0,112000.0,Diesel,Manual,WHITE,Other,4X2,5.0,5.0,129.0,91.0,11.0,128.0,0,38,2,143,11,0
vauxhall,Corsa,6995.0,2016,1400.0,72032.0,Petrol,Manual,White,Hatchback,4X2,5.0,5.0,88.0,109.0,13.2,118.0,3,26,2,144,7,0
vauxhall,Corsa,8495.0,2015,1398.0,48000.0,Petrol,Automatic,Green,Hatchback,4X2,5.0,5.0,88.0,106.0,13.9,137.0,3,26,1,45,7,0
vauxhall,Astra,2795.0,2011,1398.0,104000.0,Petrol,Manual,Grey,Hatchback,4X2,5.0,5.0,98.0,111.0,13.9,129.0,3,3,2,46,7,0
vauxhall,Corsa,15495.0,2022,1199.0,12459.0,Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,99.0,121.0,11.0,117.0,3,26,2,12,7,0
vauxhall,Corsa,11490.0,2020,1199.0,29600.0,Petrol,Manual,Voltaic Blue,Hatchback,4X2,5.0,5.0,74.0,108.0,11.0,125.0,3,26,2,140,7,0
vauxhall,Insignia,8490.0,2019,1598.0,84518.0,Diesel,Manual,Blue,Hatchback,4X2,5.0,5.0,109.0,127.0,11.0,106.0,0,34,2,12,7,0
vauxhall,Corsa,4995.0,2016,1229.0,72500.0,Petrol,Manual,Green,Hatchback,4X2,3.0,5.0,68.0,101.0,16.0,124.0,3,26,2,45,7,0
vauxhall,Astra,7700.0,2017,999.0,53000.0,Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,103.0,121.0,11.0,104.0,3,3,2,11,7,0
vauxhall,Antara,4999.0,2013,2231.0,88000.0,Diesel,Automatic,White,SUV,4X4,5.0,5.0,161.0,113.0,12.0,211.0,0,2,1,144,14,1
vauxhall,Corsa,4500.0,2013,1200.0,58964.0,Petrol,Manual,Silver,Other,4X2,5.0,5.0,84.0,107.0,13.9,129.0,3,26,2,123,11,0
vauxhall,Astra,8295.0,2017,1399.0,64105.0,Petrol,Manual,WHITE,Hatchback,4X2,5.0,5.0,147.0,134.0,8.3,128.0,3,3,2,143,7,0
vauxhall,Mokka,6000.0,2014,1686.0,76008.0,Diesel,Manual,SILVER,Hatchback,4X2,5.0,5.0,129.0,116.0,10.5,120.0,0,36,2,119,7,0
vauxhall,Corsa,6995.0,2012,1398.0,40000.0,Petrol,Automatic,BROWN/BEIGE,Hatchback,4X2,5.0,5.0,98.0,107.0,13.9,147.0,3,26,1,10,7,0
vauxhall,Corsa,3695.0,2011,1229.0,99000.0,Petrol,Manual,WHITE,Hatchback,4X2,3.0,5.0,83.0,107.0,13.6,129.0,3,26,2,143,7,0
vauxhall,Corsa,5495.0,2013,1398.0,57000.0,Petrol,Manual,SILVER,Hatchback,4X2,5.0,5.0,98.0,112.0,11.9,129.0,3,26,2,119,7,0
vauxhall,Astra,6500.0,2016,1598.0,86180.0,Diesel,Manual,BLACK,Hatchback,4X2,5.0,5.0,109.0,124.0,10.9,91.0,0,3,2,5,7,0
vauxhall,Corsa,1299.0,2009,1229.0,91029.0,Petrol,Manual,SILVER,Hatchback,4X2,3.0,5.0,80.0,104.0,13.8,146.0,3,26,2,119,7,0
vauxhall,Corsa,10500.0,2020,1199.0,40000.0,Petrol,Manual,GREY,Hatchback,4X2,5.0,5.0,74.0,108.0,11.0,125.0,3,26,2,41,7,0
vauxhall,Adam,7000.0,2014,1229.0,65210.0,Petrol,Manual,RED,Hatchback,4X2,3.0,4.0,68.0,103.0,14.9,124.0,3,0,2,112,7,0
vauxhall,Mokka X,11449.0,2017,1364.0,38696.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,138.0,122.0,9.3,140.0,3,37,2,12,14,0
vauxhall,Insignia,11649.0,2017,1956.0,42980.0,Diesel,Manual,Blue,Hatchback,4X2,5.0,5.0,168.0,140.0,8.2,136.0,0,34,2,12,7,0
vauxhall,Corsa,11699.0,2020,1199.0,25593.0,Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,74.0,108.0,11.0,125.0,3,26,2,114,7,0
vauxhall,Mokka X,10749.0,2017,1598.0,36059.0,Diesel,Manual,Blue,SUV,4X2,5.0,5.0,109.0,112.0,11.0,105.0,0,37,2,12,14,0
vauxhall,Insignia,12999.0,2017,1956.0,46115.0,Diesel,Manual,Black,Hatchback,4X2,5.0,5.0,168.0,139.0,8.4,145.0,0,34,2,11,7,0
vauxhall,Grandland X,11949.0,2019,1199.0,56894.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,128.0,117.0,9.5,120.0,3,33,2,12,14,0
vauxhall,Astra,10199.0,2018,1598.0,35097.0,Diesel,Manual,Grey,Hatchback,4X2,5.0,5.0,109.0,124.0,10.4,107.0,0,3,2,46,7,0
vauxhall,Mokka X,12549.0,2016,1364.0,31224.0,Petrol,Manual,White,SUV,4X2,5.0,5.0,138.0,119.0,10.1,149.0,3,37,2,144,14,0
